file,texture,width,height,selected_pixels,alpha_zero,alpha_full,alpha_partial,alpha_min,alpha_max
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\5f8c9b1478e241ac94031b1b02df08e3\resource_pack_EP_JXK_Gun_1\textures\models\aek973_color_mask.png,textures/models/aek973_color_mask,160,92,1612,0,2,1610,37,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\59cc2f296e854a9d8fe027ff0bb9f9c4\resource_pack_EP_JXK_Gun_8\textures\models\akita_color_mask.png,textures/models/akita_color_mask,94,54,4905,0,2066,2839,1,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\59cc2f296e854a9d8fe027ff0bb9f9c4\resource_pack_EP_JXK_Gun_8\textures\models\akita_scorchlink_akimbo_color_mask.png,textures/models/akita_scorchlink_akimbo_color_mask,90,52,4617,0,2226,2391,2,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\an94.png,textures/models/an94,512,512,0,0,0,0,,
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\ar57_color_mask.png,textures/models/ar57_color_mask,248,134,6028,0,4,6024,23,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\ash12.png,textures/models/ash12,512,512,0,0,0,0,,
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\ca565077d9b644d2a0aba55f43d17bb3\resource_pack_EP_JXK_12\textures\models\ash12_time.png,textures/models/ash12_time,256,256,0,0,0,0,,
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\ead4fc560a4e45c1bdd0d88ef9710061\resource_pack_EP_JXK_9\textures\models\auto5_color_mask.png,textures/models/auto5_color_mask,126,64,7181,0,7180,1,25,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\aw50_color_mask.png,textures/models/aw50_color_mask,104,106,10816,0,11,10805,74,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\axmc_color_mask.png,textures/models/axmc_color_mask,156,108,16826,0,0,16826,89,217
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\5f8c9b1478e241ac94031b1b02df08e3\resource_pack_EP_JXK_Gun_1\textures\models\bal27_color_mask.png,textures/models/bal27_color_mask,252,136,4311,0,0,4311,128,250
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\5f8c9b1478e241ac94031b1b02df08e3\resource_pack_EP_JXK_Gun_1\textures\models\basilisk_color_mask.png,textures/models/basilisk_color_mask,256,256,16983,0,16983,0,255,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\5f8c9b1478e241ac94031b1b02df08e3\resource_pack_EP_JXK_Gun_1\textures\models\basp_tf_color_mask.png,textures/models/basp_tf_color_mask,174,88,1222,0,4,1218,7,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\ead4fc560a4e45c1bdd0d88ef9710061\resource_pack_EP_JXK_9\textures\models\colt1873_color_mask.png,textures/models/colt1873_color_mask,36,54,1316,0,1316,0,255,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\ead4fc560a4e45c1bdd0d88ef9710061\resource_pack_EP_JXK_9\textures\models\colt1873_lb_color_mask.png,textures/models/colt1873_lb_color_mask,100,50,2267,0,2267,0,255,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\ead4fc560a4e45c1bdd0d88ef9710061\resource_pack_EP_JXK_9\textures\models\coltm1892_color_mask.png,textures/models/coltm1892_color_mask,76,66,5015,0,2511,2504,3,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\ead4fc560a4e45c1bdd0d88ef9710061\resource_pack_EP_JXK_9\textures\models\coltm1892pair_color_mask.png,textures/models/coltm1892pair_color_mask,134,68,4954,0,2494,2460,14,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\desert.png,textures/models/desert,256,256,0,0,0,0,,
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\5f8c9b1478e241ac94031b1b02df08e3\resource_pack_EP_JXK_Gun_1\textures\models\dtir3006_color_mask.png,textures/models/dtir3006_color_mask,256,256,16994,0,16994,0,255,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\0d09f0c5ce3c4778be216e9fda681ea0\resource_pack_EP_JXK_Gun_2\textures\models\dvl10.png,textures/models/dvl10,1024,1024,0,0,0,0,,
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\5f8c9b1478e241ac94031b1b02df08e3\resource_pack_EP_JXK_Gun_1\textures\models\ebr14_color_mask.png,textures/models/ebr14_color_mask,176,120,4612,0,37,4575,2,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_basb_color_mask.png,textures/models/emx_basb_color_mask,360,290,10139,0,7657,2482,8,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_locus_color_mask.png,textures/models/emx_locus_color_mask,260,282,16589,0,11036,5553,35,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_locusmk2_color_mask.png,textures/models/emx_locusmk2_color_mask,484,246,17666,0,9865,7801,9,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_a_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_a_color_mask,32,32,95,0,3,92,58,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_b_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_b_color_mask,16,16,60,0,3,57,75,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_c_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_c_color_mask,16,16,40,0,3,37,63,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_d_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_d_color_mask,16,16,45,0,4,41,76,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_e_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_e_color_mask,16,16,70,0,4,66,51,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_f_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_f_color_mask,16,16,55,0,3,52,53,255
D:\MCStudioDownload\work\m15962993069@163.com\Cpp\AddOn\823d802adb2e42708a71ca4f863afe35\resource_pack_EP_JXK_Gun_3\textures\models\emx_parts\aim\emx_up_sight_g_color_mask.png,textures/models/emx_parts/aim/emx_up_sight_g_color_mask,16,16,58,0,4,54,64,255
